timestamp,signal_strength,packet_loss_rate,round_trip_time,communication_protocol,frequency_band,encryption_type,drone_gps_coordinates,altitude,speed_trajectory,transmission_power,message_authentication_status,session_key_validity,signal_noise_ratio,sequence_number_gap,drone_identification,data_rate,network_traffic_volume,gps_signal_integrity,uplink_downlink_quality,base_station_load,port_scanning_attempts,drone_signal_handoff,malware_detection_signals,anomaly_in_behavioral_pattern,intrusion_detection_flags,temporal_patterns,label_normal,label_spoofing,label_mitm,label_ddos,label_gps_spoofing,label_malware,label_jamming,label_protocol_exploit
2022-06-01 12:00:00,-60,0,50,ZigBee,2.4,AES,"(-52.16116048864027, 155.49053413123897)",100,30,20,1,1,30,0,82,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01 13:00:00,-60,0,255,Wi-Fi,915.0,AES,"(-44.291018047439856, -16.965353189665024)",100,30,20,1,1,30,0,68,100,100,1,50,50,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-06-01 14:00:00,-60,0,50,ZigBee,5.0,RSA,"(48.021292611924, 100.06315892197853)",100,30,20,0,1,30,0,79,100,100,1,50,50,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2022-06-01 15:00:00,-60,0,50,ZigBee,2.4,AES,"(21.57472402862338, 119.96224032575037)",100,30,20,1,1,30,0,2,100,100,1,87,123,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2022-06-01 16:00:00,-60,0,50,Wi-Fi,2.4,AES,"(29.301970125062454, 59.54103700549064)",100,30,20,1,1,30,0,1,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01 17:00:00,-60,0,50,ZigBee,2.4,AES,"(-84.75113236020147, 13.019025507219766)",100,30,20,1,1,30,0,80,100,100,1,33,50,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2022-06-01 18:00:00,-60,0,256,ZigBee,2.4,RSA,"(21.112441747506068, 144.45713717150392)",100,30,20,1,1,30,0,7,100,100,1,64,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-06-01 19:00:00,-60,0,50,Wi-Fi,5.0,RSA,"(-32.515981649396494, 4.861740218399319)",100,27,36,1,0,30,0,71,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01 20:00:00,-60,0,461,LoRa,5.0,RSA,"(-73.56376847592183, -8.711243484296318)",100,30,21,1,0,30,0,18,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2022-06-01 21:00:00,-60,0,353,Wi-Fi,915.0,AES,"(-58.06520058167189, 121.6809842908944)",100,30,20,1,1,30,0,15,100,1756,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01 22:00:00,-60,0,293,Wi-Fi,5.0,AES,"(12.459739010647965, -101.30773067098701)",100,30,20,1,1,30,0,87,100,100,1,50,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2022-06-01 23:00:00,-60,0,50,Wi-Fi,2.4,AES,"(0.10912059657135842, -25.16634969266815)",100,30,38,1,1,30,0,41,100,575,1,50,50,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2022-06-02 00:00:00,-60,0,50,Wi-Fi,5.0,AES,"(-58.144835854141675, -20.34848327445883)",100,30,20,0,0,30,0,88,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-06-02 01:00:00,-60,0,50,LoRa,915.0,RSA,"(-5.8044792996966095, -73.51799690766259)",100,30,20,1,1,30,0,98,440,100,1,93,295,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02 02:00:00,-60,0,50,LoRa,5.0,AES,"(-86.51038558682383, -63.642339239477494)",100,50,20,1,1,30,0,93,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
