timestamp,signal_strength,packet_loss_rate,round_trip_time,communication_protocol,frequency_band,encryption_type,drone_gps_coordinates,altitude,speed_trajectory,transmission_power,message_authentication_status,session_key_validity,signal_noise_ratio,sequence_number_gap,drone_identification,data_rate,network_traffic_volume,gps_signal_integrity,uplink_downlink_quality,base_station_load,port_scanning_attempts,drone_signal_handoff,malware_detection_signals,anomaly_in_behavioral_pattern,intrusion_detection_flags,temporal_patterns,label_normal,label_spoofing,label_mitm,label_ddos,label_gps_spoofing,label_malware,label_jamming,label_protocol_exploit
2024-11-04 10:00:00,-60,13,50,Wi-Fi,2.4,RSA,"(76.70791630601121, 14.857018377081346)",100,30,30,1,1,30,0,48,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 11:00:00,-60,0,50,Wi-Fi,2.4,AES,"(-53.11804000696517, 9.382788753154983)",100,8,20,1,1,30,0,16,211,1371,1,50,126,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2024-11-04 12:00:00,-60,0,50,Wi-Fi,5.0,AES,"(-25.363095889774357, -9.224087928146076)",100,30,20,1,1,30,0,17,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2024-11-04 13:00:00,-60,0,50,ZigBee,2.4,AES,"(-7.172597332080898, -123.63042541652126)",125,30,20,0,1,30,0,5,100,100,1,77,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 14:00:00,-60,0,50,ZigBee,2.4,AES,"(48.1348769583889, -108.25112575507558)",100,30,20,1,0,30,0,18,100,1461,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 15:00:00,-60,0,50,Wi-Fi,5.0,AES,"(68.87432468642197, 90.30517608402994)",100,30,20,1,1,30,0,67,100,1979,1,38,222,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-11-04 16:00:00,-60,0,125,ZigBee,2.4,AES,"(8.53628805671913, 167.9480483839297)",100,30,20,1,1,30,0,40,100,100,1,50,255,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2024-11-04 17:00:00,-60,0,50,ZigBee,5.0,AES,"(-11.68008514937793, -145.28383940662778)",282,30,20,1,0,30,0,56,100,721,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 18:00:00,-60,36,50,LoRa,2.4,RSA,"(-2.4447941666673785, -29.476875223900663)",100,30,20,1,1,30,0,29,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 19:00:00,-64,0,50,Wi-Fi,2.4,AES,"(31.05327609010753, -163.61207450963366)",100,30,20,1,1,30,0,37,126,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04 20:00:00,-60,0,50,Wi-Fi,915.0,AES,"(85.42452411616557, 78.14954140382298)",100,54,20,1,1,30,0,86,100,100,1,50,50,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2024-11-04 21:00:00,-60,0,50,Wi-Fi,2.4,Plain-text,"(83.94670471155428, 48.95140583206245)",100,30,20,1,0,30,0,68,100,100,1,50,238,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2024-11-04 22:00:00,-60,0,50,ZigBee,915.0,AES,"(61.89270846366483, 110.05177675426745)",100,30,20,1,1,30,0,54,100,100,1,50,50,0,1,0,0,0,1,0,0,0,1,0,0,0,0
